"Source:","C:\Users\compukidmike\Dropbox\kicad\Saintcon2019TopBoard\Saintcon2019TopBoard.sch"
"Date:","6/2/2019 3:04:15 PM"
"Tool:","Eeschema (5.1.2)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","1119"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7","Field8"
"","","C1","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C2","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C3","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C4","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C5","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C6","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C7","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C8","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C9","10uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C10","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C11","1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C12","1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C13","1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C14","1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C15","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C16","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C17","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C18","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C19","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C20","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C21","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C22","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C23","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C24","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C25","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C26","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C27","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C28","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C29","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C30","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C31","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","C32","0.1uF","Device:C_Small","Capacitors_SMD:C_0603","~","","","","",""
"","","D1","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D2","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D3","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D4","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D5","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D6","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D7","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D8","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D9","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D10","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D11","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D12","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D13","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D14","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D15","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D16","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D17","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D18","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D19","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D20","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D21","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D22","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D23","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D24","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D25","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D26","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D27","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D28","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D29","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D30","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D31","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D32","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D33","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D34","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
"","","D35","LED_ARGB","Device:LED_ARGB","RGB_LED_0402_1mm:LTSN-B28JEGBB","~","","","","",""
